"T_ref","T","BG_ref","BG"
23.66,13.07,4.9,4.1
23.64,13.03,4.8,3.9
23.69,12.79,6.2,4.9
23.60,12.03,5.5,4.4
23.36,10.76,5.5,4.4
23.46,11.99,6.0,4.2
23.51,11.99,5.9,4.6
23.31,11.00,5.9,4.6
22.22,11.21,5.5,4.4
23.63,14.60,5.4,4.4
24.27,12.02,4.7,4.4
24.27,12.02,4.7,4.2
23.22,9.85,5.2,3.9
23.22,9.85,4.9,3.4
23.22,9.85,4.8,3.6
23.00,10.57,4.1,2.9
23.00,10.57,3.7,2.7
23.00,21.75,3.8,3.8
23.28,10.92,4.6,3.6
23.57,11.08,4.6,3.4
23.57,11.08,4.0,3.3
23.28,6.66,4.5,2.8
23.28,6.66,4.3,2.8
23.78,8.12,6.8,4.4
23.78,8.12,6.2,4.8
23.26,7.39,5.0,3.8
23.26,7.39,4.9,3.4
23.13,7.84,5.9,4.7
23.13,7.84,5.5,4.7
22.85,9.33,5.6,4.0
22.85,9.33,5.6,4.3
22.85,22.85,6.1,6.0
23.03,6.46,5.8,4.1
23.03,6.46,5.8,4.3
22.91,8.29,5.6,3.8
22.91,8.29,5.5,4.3
22.81,7.01,5.2,3.8
22.81,7.01,4.9,3.9
22.88,6.49,5.5,4.1
22.88,6.49,5.2,3.3
22.30,2.69,5.5,2.9
22.30,2.69,5.3,3.9
22.38,2.35,6.2,3.8
22.38,2.35,5.8,4.1
22.33,2.5,5.9,4.1
22.33,2.5,5.9,4.2
22.57,6.32,6.5,5.3
22.57,6.32,6.2,5.0
